Order Date,Ship Mode,Number of Records,Days to Ship Actual,Days to Ship Scheduled
11/6/2012,First Class,1,1,1
11/6/2012,First Class,1,1,1
11/6/2012,First Class,1,1,1
11/6/2012,Standard Class,1,5,6
11/6/2012,Standard Class,1,5,6
11/6/2012,Standard Class,1,5,6
11/6/2012,Standard Class,1,5,6
11/6/2012,Standard Class,1,5,6
12/6/2012,Standard Class,1,4,6
12/6/2012,Standard Class,1,4,6
12/6/2012,Standard Class,1,5,6
12/6/2012,Standard Class,1,5,6
12/6/2012,Standard Class,1,5,6
13/6/2012,First Class,1,1,1
13/6/2012,Second Class,1,2,3
13/6/2012,Standard Class,1,4,6
13/6/2012,Standard Class,1,6,6
13/6/2012,Standard Class,1,6,6
13/6/2012,Standard Class,1,6,6
13/6/2012,Standard Class,1,6,6
13/6/2012,Standard Class,1,6,6
13/6/2012,Standard Class,1,6,6
13/6/2012,Standard Class,1,6,6
14/6/2012,Standard Class,1,4,6
15/6/2012,First Class,1,2,1
15/6/2012,Standard Class,1,4,6
15/6/2012,Standard Class,1,5,6
15/6/2012,Standard Class,1,5,6
15/6/2012,Standard Class,1,5,6
15/6/2012,Standard Class,1,5,6
16/6/2012,First Class,1,3,1
16/6/2012,First Class,1,3,1
16/6/2012,Standard Class,1,4,6
16/6/2012,Standard Class,1,4,6
16/6/2012,Standard Class,1,4,6
16/6/2012,Standard Class,1,4,6
18/6/2012,First Class,1,2,1
18/6/2012,First Class,1,2,1
18/6/2012,First Class,1,2,1
18/6/2012,Standard Class,1,4,6
18/6/2012,Standard Class,1,4,6
18/6/2012,Standard Class,1,5,6
18/6/2012,Standard Class,1,5,6
18/6/2012,Standard Class,1,5,6
18/6/2012,Standard Class,1,5,6
18/6/2012,Standard Class,1,6,6
18/6/2012,Standard Class,1,6,6
18/6/2012,Standard Class,1,6,6
18/6/2012,Standard Class,1,6,6
18/6/2012,Standard Class,1,6,6
19/6/2012,Same Day,1,0,0
19/6/2012,Standard Class,1,4,6
19/6/2012,Standard Class,1,4,6
19/6/2012,Standard Class,1,4,6
19/6/2012,Standard Class,1,4,6
19/6/2012,Standard Class,1,5,6
20/6/2012,First Class,1,3,1
20/6/2012,Second Class,1,4,3
20/6/2012,Second Class,1,5,3
20/6/2012,Second Class,1,5,3
21/6/2012,Standard Class,1,6,6
22/6/2012,First Class,1,3,1
22/6/2012,Second Class,1,4,3
22/6/2012,Standard Class,1,5,6
23/6/2012,Second Class,1,2,3
23/6/2012,Standard Class,1,5,6
23/6/2012,Standard Class,1,5,6
23/6/2012,Standard Class,1,5,6
23/6/2012,Standard Class,1,6,6
23/6/2012,Standard Class,1,6,6
23/6/2012,Standard Class,1,6,6
25/6/2012,First Class,1,3,1
25/6/2012,First Class,1,3,1
25/6/2012,First Class,1,3,1
25/6/2012,First Class,1,3,1
25/6/2012,Standard Class,1,5,6
25/6/2012,Standard Class,1,6,6
25/6/2012,Standard Class,1,6,6
25/6/2012,Standard Class,1,6,6
25/6/2012,Standard Class,1,6,6
25/6/2012,Standard Class,1,6,6
26/6/2012,Second Class,1,3,3
26/6/2012,Standard Class,1,4,6
26/6/2012,Standard Class,1,4,6
26/6/2012,Standard Class,1,4,6
26/6/2012,Standard Class,1,4,6
26/6/2012,Standard Class,1,4,6
26/6/2012,Standard Class,1,4,6
28/6/2012,Standard Class,1,4,6
28/6/2012,Standard Class,1,4,6
28/6/2012,Standard Class,1,4,6
28/6/2012,Standard Class,1,4,6
28/6/2012,Second Class,1,5,3
28/6/2012,Second Class,1,5,3
29/6/2012,First Class,1,3,1
29/6/2012,Standard Class,1,4,6
29/6/2012,Standard Class,1,5,6
29/6/2012,Standard Class,1,6,6
2/7/2012,Same Day,1,0,0
2/7/2012,First Class,1,1,1
2/7/2012,First Class,1,2,1
2/7/2012,First Class,1,2,1
2/7/2012,First Class,1,2,1
2/7/2012,First Class,1,2,1
2/7/2012,Standard Class,1,4,6
2/7/2012,Standard Class,1,4,6
2/7/2012,Standard Class,1,4,6
2/7/2012,Standard Class,1,4,6
2/7/2012,Standard Class,1,4,6
2/7/2012,Standard Class,1,7,6
2/7/2012,Standard Class,1,7,6
3/7/2012,First Class,1,2,1
3/7/2012,First Class,1,2,1
3/7/2012,First Class,1,2,1
3/7/2012,Standard Class,1,6,6
3/7/2012,Standard Class,1,6,6
4/7/2012,Standard Class,1,4,6
4/7/2012,Second Class,1,4,3
4/7/2012,Standard Class,1,5,6
5/7/2012,Second Class,1,5,3
5/7/2012,Standard Class,1,5,6
5/7/2012,Second Class,1,5,3
5/7/2012,Standard Class,1,5,6
5/7/2012,Standard Class,1,5,6
5/7/2012,Standard Class,1,6,6
5/7/2012,Standard Class,1,6,6
6/7/2012,Standard Class,1,4,6
6/7/2012,Standard Class,1,4,6
6/7/2012,Standard Class,1,4,6
6/7/2012,Standard Class,1,4,6
6/7/2012,Standard Class,1,5,6
6/7/2012,Standard Class,1,5,6
6/7/2012,Standard Class,1,6,6
8/7/2012,Same Day,1,0,0
9/7/2012,Standard Class,1,4,6
9/7/2012,Standard Class,1,4,6
9/7/2012,Standard Class,1,4,6
9/7/2012,Standard Class,1,5,6
9/7/2012,Standard Class,1,5,6
9/7/2012,Standard Class,1,5,6
9/7/2012,Standard Class,1,5,6
9/7/2012,Standard Class,1,5,6
9/7/2012,Standard Class,1,5,6
9/7/2012,Standard Class,1,5,6
9/7/2012,Standard Class,1,5,6
9/7/2012,Standard Class,1,5,6
9/7/2012,Second Class,1,5,3
9/7/2012,Standard Class,1,5,6
10/7/2012,Same Day,1,0,0
10/7/2012,Standard Class,1,4,6
11/7/2012,First Class,1,1,1
11/7/2012,First Class,1,1,1
11/7/2012,First Class,1,1,1
11/7/2012,First Class,1,2,1
11/7/2012,First Class,1,2,1
11/7/2012,First Class,1,2,1
11/7/2012,First Class,1,2,1
11/7/2012,First Class,1,2,1
11/7/2012,First Class,1,2,1
11/7/2012,Second Class,1,2,3
11/7/2012,Second Class,1,2,3
12/7/2012,Second Class,1,5,3
12/7/2012,Second Class,1,5,3
12/7/2012,Second Class,1,5,3
12/7/2012,Second Class,1,5,3
12/7/2012,Second Class,1,5,3
12/7/2012,Second Class,1,5,3
12/7/2012,Second Class,1,5,3
12/7/2012,Standard Class,1,6,6
13/7/2012,Second Class,1,2,3
13/7/2012,Second Class,1,2,3
13/7/2012,Second Class,1,2,3
13/7/2012,Second Class,1,2,3
13/7/2012,First Class,1,2,1
14/7/2012,Second Class,1,5,3
14/7/2012,Second Class,1,5,3
14/7/2012,Second Class,1,5,3
14/7/2012,Second Class,1,5,3
16/7/2012,Same Day,1,0,0
16/7/2012,Same Day,1,0,0
16/7/2012,First Class,1,3,1
16/7/2012,First Class,1,3,1
16/7/2012,Standard Class,1,4,6
16/7/2012,Standard Class,1,4,6
16/7/2012,Standard Class,1,4,6
17/7/2012,Second Class,1,2,3
17/7/2012,Second Class,1,3,3
17/7/2012,Standard Class,1,7,6
17/7/2012,Standard Class,1,7,6
18/7/2012,Second Class,1,2,3
18/7/2012,Second Class,1,2,3
18/7/2012,Second Class,1,2,3
18/7/2012,First Class,1,3,1
18/7/2012,Standard Class,1,4,6
19/7/2012,First Class,1,1,1
20/7/2012,Second Class,1,5,3
20/7/2012,Second Class,1,5,3
20/7/2012,Second Class,1,5,3
20/7/2012,Second Class,1,5,3
20/7/2012,Second Class,1,5,3
20/7/2012,Second Class,1,5,3
20/7/2012,Standard Class,1,7,6
20/7/2012,Standard Class,1,7,6
20/7/2012,Standard Class,1,7,6
20/7/2012,Standard Class,1,7,6
23/7/2012,Second Class,1,3,3
23/7/2012,Standard Class,1,4,6
23/7/2012,Standard Class,1,4,6
24/7/2012,Standard Class,1,4,6
24/7/2012,Standard Class,1,4,6
24/7/2012,Standard Class,1,4,6
24/7/2012,Standard Class,1,4,6
25/7/2012,Second Class,1,2,3
25/7/2012,Second Class,1,2,3
25/7/2012,Second Class,1,2,3
25/7/2012,Second Class,1,2,3
25/7/2012,Standard Class,1,4,6
25/7/2012,Standard Class,1,4,6
25/7/2012,Standard Class,1,4,6
25/7/2012,Standard Class,1,5,6
26/7/2012,Same Day,1,0,0
26/7/2012,First Class,1,2,1
26/7/2012,Standard Class,1,5,6
26/7/2012,Standard Class,1,5,6
26/7/2012,Standard Class,1,5,6
26/7/2012,Standard Class,1,5,6
26/7/2012,Standard Class,1,7,6
27/7/2012,Standard Class,1,6,6
30/7/2012,First Class,1,1,1
30/7/2012,First Class,1,1,1
30/7/2012,First Class,1,1,1
30/7/2012,First Class,1,2,1
30/7/2012,Second Class,1,4,3
31/7/2012,Same Day,1,0,0
31/7/2012,Same Day,1,0,0
31/7/2012,Same Day,1,0,0
31/7/2012,Standard Class,1,6,6
31/7/2012,Standard Class,1,6,6
1/8/2012,Standard Class,1,6,6
1/8/2012,Standard Class,1,6,6
2/8/2012,Second Class,1,3,3
2/8/2012,Second Class,1,3,3
2/8/2012,Second Class,1,3,3
2/8/2012,Second Class,1,3,3
2/8/2012,Standard Class,1,4,6
2/8/2012,Standard Class,1,4,6
2/8/2012,Standard Class,1,4,6
5/8/2012,Standard Class,1,6,6
5/8/2012,Standard Class,1,6,6
5/8/2012,Standard Class,1,6,6
5/8/2012,Standard Class,1,6,6
6/8/2012,First Class,1,2,1
6/8/2012,Standard Class,1,4,6
6/8/2012,Standard Class,1,4,6
6/8/2012,Standard Class,1,4,6
6/8/2012,Standard Class,1,4,6
7/8/2012,First Class,1,1,1
7/8/2012,First Class,1,1,1
7/8/2012,First Class,1,2,1
7/8/2012,Second Class,1,2,3
7/8/2012,Second Class,1,2,3
7/8/2012,Standard Class,1,4,6
7/8/2012,Standard Class,1,5,6
7/8/2012,Standard Class,1,5,6
8/8/2012,Same Day,1,0,0
8/8/2012,Same Day,1,0,0
8/8/2012,Same Day,1,0,0
8/8/2012,Second Class,1,2,3
8/8/2012,Second Class,1,2,3
8/8/2012,Second Class,1,2,3
8/8/2012,Standard Class,1,4,6
9/8/2012,First Class,1,3,1
9/8/2012,First Class,1,3,1
9/8/2012,First Class,1,3,1
9/8/2012,First Class,1,3,1
9/8/2012,First Class,1,3,1
9/8/2012,First Class,1,3,1
9/8/2012,First Class,1,3,1
9/8/2012,First Class,1,3,1
9/8/2012,First Class,1,3,1
9/8/2012,First Class,1,3,1
9/8/2012,Second Class,1,4,3
9/8/2012,Standard Class,1,5,6
9/8/2012,Standard Class,1,7,6
9/8/2012,Standard Class,1,7,6
9/8/2012,Standard Class,1,7,6
9/8/2012,Standard Class,1,7,6
9/8/2012,Standard Class,1,7,6
10/8/2012,Standard Class,1,4,6
10/8/2012,Standard Class,1,6,6
10/8/2012,Standard Class,1,6,6
10/8/2012,Standard Class,1,6,6
10/8/2012,Standard Class,1,6,6
10/8/2012,Standard Class,1,6,6
10/8/2012,Standard Class,1,6,6
11/8/2012,Standard Class,1,4,6
11/8/2012,Standard Class,1,4,6
11/8/2012,Standard Class,1,5,6
13/8/2012,Same Day,1,0,0
13/8/2012,First Class,1,2,1
13/8/2012,First Class,1,3,1
13/8/2012,Second Class,1,4,3
13/8/2012,Standard Class,1,4,6
13/8/2012,Standard Class,1,7,6
15/8/2012,Standard Class,1,4,6
15/8/2012,Standard Class,1,4,6
15/8/2012,Standard Class,1,4,6
16/8/2012,Standard Class,1,4,6
16/8/2012,Standard Class,1,4,6
16/8/2012,Standard Class,1,4,6
16/8/2012,Standard Class,1,4,6
16/8/2012,Standard Class,1,4,6
16/8/2012,Standard Class,1,4,6
16/8/2012,Standard Class,1,4,6
16/8/2012,Standard Class,1,4,6
16/8/2012,Standard Class,1,4,6
16/8/2012,Standard Class,1,6,6
16/8/2012,Standard Class,1,6,6
16/8/2012,Standard Class,1,6,6
16/8/2012,Standard Class,1,6,6
17/8/2012,Standard Class,1,4,6
17/8/2012,Standard Class,1,6,6
17/8/2012,Standard Class,1,6,6
17/8/2012,Standard Class,1,6,6
17/8/2012,Standard Class,1,6,6
21/8/2012,First Class,1,2,1
21/8/2012,First Class,1,2,1
21/8/2012,First Class,1,2,1
21/8/2012,First Class,1,2,1
21/8/2012,Standard Class,1,4,6
21/8/2012,Standard Class,1,4,6
21/8/2012,Standard Class,1,4,6
21/8/2012,Standard Class,1,4,6
21/8/2012,Standard Class,1,4,6
21/8/2012,Standard Class,1,4,6
21/8/2012,Standard Class,1,4,6
21/8/2012,Standard Class,1,4,6
21/8/2012,Standard Class,1,5,6
21/8/2012,Standard Class,1,5,6
21/8/2012,Standard Class,1,5,6
21/8/2012,Standard Class,1,5,6
22/8/2012,First Class,1,3,1
22/8/2012,Standard Class,1,4,6
23/8/2012,Same Day,1,0,0
23/8/2012,Same Day,1,0,0
23/8/2012,Same Day,1,0,0
23/8/2012,Same Day,1,0,0
23/8/2012,Standard Class,1,5,6
23/8/2012,Standard Class,1,5,6
23/8/2012,Standard Class,1,5,6
23/8/2012,Standard Class,1,5,6
23/8/2012,Standard Class,1,5,6
23/8/2012,Standard Class,1,5,6
23/8/2012,Standard Class,1,5,6
24/8/2012,Second Class,1,2,3
24/8/2012,Second Class,1,2,3
24/8/2012,First Class,1,2,1
24/8/2012,Second Class,1,2,3
24/8/2012,Standard Class,1,4,6
24/8/2012,Second Class,1,4,3
24/8/2012,Standard Class,1,4,6
24/8/2012,Standard Class,1,4,6
24/8/2012,Standard Class,1,4,6
24/8/2012,Standard Class,1,4,6
24/8/2012,Standard Class,1,4,6
24/8/2012,Standard Class,1,4,6
24/8/2012,Standard Class,1,4,6
24/8/2012,Standard Class,1,4,6
25/8/2012,Same Day,1,0,0
25/8/2012,Same Day,1,0,0
25/8/2012,Same Day,1,0,0
25/8/2012,Standard Class,1,5,6
25/8/2012,Standard Class,1,5,6
27/8/2012,Standard Class,1,4,6
27/8/2012,Standard Class,1,4,6
27/8/2012,Standard Class,1,5,6
27/8/2012,Standard Class,1,5,6
27/8/2012,Standard Class,1,5,6
28/8/2012,Standard Class,1,4,6
28/8/2012,Standard Class,1,4,6
28/8/2012,Standard Class,1,4,6
28/8/2012,Standard Class,1,5,6
28/8/2012,Standard Class,1,7,6
28/8/2012,Standard Class,1,7,6
28/8/2012,Standard Class,1,7,6
28/8/2012,Standard Class,1,7,6
28/8/2012,Standard Class,1,7,6
28/8/2012,Standard Class,1,7,6
29/8/2012,Standard Class,1,4,6
29/8/2012,Standard Class,1,4,6
31/8/2012,First Class,1,2,1
31/8/2012,First Class,1,2,1
31/8/2012,First Class,1,2,1
31/8/2012,First Class,1,2,1
31/8/2012,Standard Class,1,4,6
31/8/2012,Standard Class,1,5,6
31/8/2012,Standard Class,1,5,6
1/9/2012,Second Class,1,3,3
1/9/2012,Second Class,1,3,3
1/9/2012,Second Class,1,3,3
1/9/2012,Standard Class,1,7,6
1/9/2012,Standard Class,1,7,6
1/9/2012,Standard Class,1,7,6
1/9/2012,Standard Class,1,7,6
3/9/2012,First Class,1,2,1
3/9/2012,First Class,1,2,1
3/9/2012,Second Class,1,4,3
3/9/2012,Standard Class,1,4,6
3/9/2012,Standard Class,1,4,6
3/9/2012,Standard Class,1,4,6
3/9/2012,Standard Class,1,5,6
3/9/2012,Standard Class,1,5,6
3/9/2012,Second Class,1,5,3
3/9/2012,Standard Class,1,5,6
3/9/2012,Standard Class,1,5,6
3/9/2012,Standard Class,1,6,6
3/9/2012,Standard Class,1,6,6
3/9/2012,Standard Class,1,6,6
4/9/2012,Second Class,1,3,3
4/9/2012,Standard Class,1,4,6
4/9/2012,Standard Class,1,4,6
4/9/2012,Standard Class,1,4,6
4/9/2012,Standard Class,1,4,6
4/9/2012,Standard Class,1,4,6
4/9/2012,Standard Class,1,5,6
5/9/2012,Standard Class,1,4,6
5/9/2012,Standard Class,1,4,6
5/9/2012,Standard Class,1,4,6
5/9/2012,Standard Class,1,5,6
5/9/2012,Standard Class,1,5,6
5/9/2012,Standard Class,1,6,6
5/9/2012,Standard Class,1,6,6
5/9/2012,Standard Class,1,6,6
5/9/2012,Standard Class,1,7,6
6/9/2012,Second Class,1,2,3
6/9/2012,First Class,1,2,1
6/9/2012,Second Class,1,3,3
6/9/2012,Standard Class,1,4,6
6/9/2012,Standard Class,1,6,6
6/9/2012,Standard Class,1,6,6
6/9/2012,Standard Class,1,6,6
6/9/2012,Standard Class,1,6,6
6/9/2012,Standard Class,1,6,6
6/9/2012,Standard Class,1,7,6
7/9/2012,Same Day,1,0,0
7/9/2012,Same Day,1,0,0
7/9/2012,Second Class,1,2,3
7/9/2012,Standard Class,1,4,6
7/9/2012,Standard Class,1,4,6
7/9/2012,Standard Class,1,5,6
7/9/2012,Standard Class,1,5,6
7/9/2012,Standard Class,1,5,6
7/9/2012,Standard Class,1,5,6
7/9/2012,Standard Class,1,5,6
7/9/2012,Standard Class,1,5,6
7/9/2012,Standard Class,1,7,6
7/9/2012,Standard Class,1,7,6
7/9/2012,Standard Class,1,7,6
8/9/2012,First Class,1,3,1
8/9/2012,First Class,1,3,1
8/9/2012,Standard Class,1,6,6
10/9/2012,Second Class,1,2,3
10/9/2012,Standard Class,1,4,6
10/9/2012,Standard Class,1,4,6
10/9/2012,Standard Class,1,4,6
10/9/2012,Standard Class,1,4,6
10/9/2012,Standard Class,1,4,6
10/9/2012,Standard Class,1,5,6
10/9/2012,Standard Class,1,6,6
10/9/2012,Standard Class,1,7,6
11/9/2012,First Class,1,1,1
11/9/2012,Second Class,1,4,3
11/9/2012,Standard Class,1,4,6
11/9/2012,Standard Class,1,4,6
11/9/2012,Second Class,1,4,3
11/9/2012,Second Class,1,4,3
11/9/2012,Second Class,1,4,3
11/9/2012,Standard Class,1,5,6
11/9/2012,Standard Class,1,7,6
11/9/2012,Standard Class,1,7,6
11/9/2012,Standard Class,1,7,6
11/9/2012,Standard Class,1,7,6
11/9/2012,Standard Class,1,7,6
12/9/2012,Standard Class,1,5,6
12/9/2012,Standard Class,1,5,6
12/9/2012,Second Class,1,5,3
12/9/2012,Standard Class,1,6,6
12/9/2012,Standard Class,1,6,6
12/9/2012,Standard Class,1,6,6
12/9/2012,Standard Class,1,6,6
12/9/2012,Standard Class,1,6,6
12/9/2012,Standard Class,1,6,6
13/9/2012,First Class,1,2,1
13/9/2012,First Class,1,2,1
13/9/2012,First Class,1,2,1
13/9/2012,First Class,1,2,1
13/9/2012,First Class,1,2,1
13/9/2012,First Class,1,2,1
13/9/2012,Second Class,1,4,3
13/9/2012,Second Class,1,4,3
13/9/2012,Standard Class,1,4,6
13/9/2012,Standard Class,1,5,6
13/9/2012,Standard Class,1,5,6
13/9/2012,Standard Class,1,6,6
13/9/2012,Standard Class,1,7,6
13/9/2012,Standard Class,1,7,6
14/9/2012,Second Class,1,3,3
14/9/2012,Standard Class,1,4,6
14/9/2012,Standard Class,1,4,6
14/9/2012,Standard Class,1,4,6
14/9/2012,Second Class,1,4,3
14/9/2012,Standard Class,1,4,6
14/9/2012,Standard Class,1,5,6
15/9/2012,Same Day,1,0,0
15/9/2012,Same Day,1,0,0
15/9/2012,Same Day,1,0,0
15/9/2012,Same Day,1,0,0
15/9/2012,Second Class,1,2,3
15/9/2012,Second Class,1,2,3
15/9/2012,Standard Class,1,4,6
15/9/2012,Standard Class,1,4,6
15/9/2012,Second Class,1,4,3
15/9/2012,Second Class,1,4,3
15/9/2012,Second Class,1,4,3
15/9/2012,Standard Class,1,4,6
15/9/2012,Standard Class,1,5,6
15/9/2012,Standard Class,1,5,6
16/9/2012,Standard Class,1,5,6
17/9/2012,Second Class,1,2,3
17/9/2012,First Class,1,3,1
17/9/2012,Standard Class,1,4,6
17/9/2012,Standard Class,1,4,6
17/9/2012,Standard Class,1,4,6
17/9/2012,Standard Class,1,4,6
17/9/2012,Standard Class,1,4,6
17/9/2012,Standard Class,1,4,6
17/9/2012,Standard Class,1,4,6
17/9/2012,Standard Class,1,4,6
17/9/2012,Standard Class,1,4,6
17/9/2012,Standard Class,1,4,6
17/9/2012,Standard Class,1,6,6
17/9/2012,Standard Class,1,6,6
17/9/2012,Standard Class,1,6,6
17/9/2012,Standard Class,1,6,6
17/9/2012,Standard Class,1,6,6
17/9/2012,Standard Class,1,6,6
17/9/2012,Standard Class,1,6,6
17/9/2012,Standard Class,1,6,6
17/9/2012,Standard Class,1,6,6
17/9/2012,Standard Class,1,6,6
17/9/2012,Standard Class,1,6,6
18/9/2012,First Class,1,3,1
18/9/2012,Second Class,1,4,3
18/9/2012,Second Class,1,4,3
18/9/2012,Second Class,1,4,3
18/9/2012,Standard Class,1,5,6
18/9/2012,Standard Class,1,5,6
18/9/2012,Standard Class,1,5,6
18/9/2012,Standard Class,1,5,6
18/9/2012,Standard Class,1,5,6
18/9/2012,Standard Class,1,5,6
18/9/2012,Standard Class,1,5,6
18/9/2012,Standard Class,1,5,6
18/9/2012,Second Class,1,5,3
18/9/2012,Standard Class,1,6,6
19/9/2012,Second Class,1,3,3
19/9/2012,Second Class,1,3,3
19/9/2012,Standard Class,1,4,6
19/9/2012,Second Class,1,5,3
19/9/2012,Standard Class,1,5,6
19/9/2012,Standard Class,1,7,6
20/9/2012,First Class,1,2,1
20/9/2012,Standard Class,1,4,6
20/9/2012,Standard Class,1,4,6
20/9/2012,Standard Class,1,4,6
20/9/2012,Standard Class,1,6,6
20/9/2012,Standard Class,1,6,6
20/9/2012,Standard Class,1,6,6
21/9/2012,Same Day,1,0,0
21/9/2012,First Class,1,2,1
21/9/2012,First Class,1,2,1
21/9/2012,First Class,1,3,1
21/9/2012,First Class,1,3,1
21/9/2012,First Class,1,3,1
21/9/2012,Standard Class,1,5,6
21/9/2012,Standard Class,1,5,6
21/9/2012,Standard Class,1,5,6
21/9/2012,Standard Class,1,5,6
21/9/2012,Standard Class,1,5,6
21/9/2012,Standard Class,1,5,6
21/9/2012,Standard Class,1,5,6
21/9/2012,Standard Class,1,5,6
21/9/2012,Standard Class,1,5,6
21/9/2012,Standard Class,1,5,6
21/9/2012,Standard Class,1,5,6
21/9/2012,Standard Class,1,6,6
21/9/2012,Standard Class,1,6,6
21/9/2012,Standard Class,1,6,6
22/9/2012,Same Day,1,0,0
22/9/2012,First Class,1,3,1
22/9/2012,First Class,1,3,1
22/9/2012,Second Class,1,4,3
22/9/2012,Second Class,1,4,3
22/9/2012,Second Class,1,4,3
22/9/2012,Standard Class,1,4,6
22/9/2012,Standard Class,1,4,6
22/9/2012,Standard Class,1,4,6
22/9/2012,Standard Class,1,4,6
22/9/2012,Standard Class,1,4,6
24/9/2012,Same Day,1,0,0
24/9/2012,Same Day,1,0,0
24/9/2012,Same Day,1,0,0
24/9/2012,Same Day,1,0,0
24/9/2012,Same Day,1,0,0
24/9/2012,Second Class,1,2,3
24/9/2012,Second Class,1,2,3
24/9/2012,Second Class,1,2,3
24/9/2012,Second Class,1,3,3
24/9/2012,First Class,1,3,1
24/9/2012,Standard Class,1,4,6
24/9/2012,Standard Class,1,4,6
24/9/2012,Standard Class,1,4,6
24/9/2012,Standard Class,1,4,6
24/9/2012,Standard Class,1,5,6
24/9/2012,Second Class,1,5,3
24/9/2012,Second Class,1,5,3
24/9/2012,Second Class,1,5,3
24/9/2012,Standard Class,1,6,6
25/9/2012,Same Day,1,0,0
25/9/2012,Same Day,1,0,0
25/9/2012,Same Day,1,0,0
25/9/2012,First Class,1,2,1
25/9/2012,Second Class,1,3,3
25/9/2012,Second Class,1,3,3
25/9/2012,Second Class,1,3,3
25/9/2012,Standard Class,1,4,6
25/9/2012,Standard Class,1,4,6
25/9/2012,Standard Class,1,4,6
25/9/2012,Standard Class,1,4,6
25/9/2012,Standard Class,1,4,6
25/9/2012,Standard Class,1,5,6
25/9/2012,Standard Class,1,5,6
25/9/2012,Standard Class,1,5,6
25/9/2012,Standard Class,1,5,6
25/9/2012,Standard Class,1,6,6
25/9/2012,Standard Class,1,7,6
25/9/2012,Standard Class,1,7,6
25/9/2012,Standard Class,1,7,6
25/9/2012,Standard Class,1,7,6
26/9/2012,Second Class,1,2,3
26/9/2012,Second Class,1,2,3
26/9/2012,Second Class,1,3,3
26/9/2012,Second Class,1,3,3
26/9/2012,Standard Class,1,4,6
26/9/2012,Standard Class,1,4,6
26/9/2012,Standard Class,1,4,6
26/9/2012,Standard Class,1,4,6
26/9/2012,Standard Class,1,4,6
26/9/2012,Standard Class,1,4,6
26/9/2012,Standard Class,1,4,6
26/9/2012,Standard Class,1,4,6
26/9/2012,Standard Class,1,5,6
26/9/2012,Standard Class,1,5,6
26/9/2012,Standard Class,1,6,6
26/9/2012,Standard Class,1,6,6
26/9/2012,Standard Class,1,6,6
26/9/2012,Standard Class,1,7,6
26/9/2012,Standard Class,1,7,6
26/9/2012,Standard Class,1,7,6
27/9/2012,First Class,1,2,1
27/9/2012,First Class,1,2,1
27/9/2012,Second Class,1,2,3
27/9/2012,Second Class,1,2,3
27/9/2012,Second Class,1,2,3
27/9/2012,Second Class,1,2,3
27/9/2012,Second Class,1,3,3
27/9/2012,Second Class,1,3,3
27/9/2012,Standard Class,1,5,6
27/9/2012,Standard Class,1,5,6
28/9/2012,First Class,1,3,1
28/9/2012,First Class,1,3,1
28/9/2012,Second Class,1,5,3
28/9/2012,Second Class,1,5,3
28/9/2012,Standard Class,1,6,6
28/9/2012,Standard Class,1,6,6
28/9/2012,Standard Class,1,6,6
28/9/2012,Standard Class,1,7,6
28/9/2012,Standard Class,1,7,6
28/9/2012,Standard Class,1,7,6
28/9/2012,Standard Class,1,7,6
1/10/2012,Second Class,1,3,3
1/10/2012,First Class,1,3,1
1/10/2012,Second Class,1,3,3
1/10/2012,Standard Class,1,4,6
1/10/2012,Standard Class,1,4,6
1/10/2012,Standard Class,1,5,6
2/10/2012,First Class,1,1,1
2/10/2012,First Class,1,1,1
2/10/2012,First Class,1,1,1
2/10/2012,First Class,1,2,1
2/10/2012,First Class,1,2,1
2/10/2012,Second Class,1,3,3
2/10/2012,Second Class,1,3,3
2/10/2012,Standard Class,1,4,6
2/10/2012,Standard Class,1,4,6
2/10/2012,Standard Class,1,5,6
2/10/2012,Second Class,1,5,3
2/10/2012,Standard Class,1,6,6
2/10/2012,Standard Class,1,6,6
2/10/2012,Standard Class,1,6,6
2/10/2012,Standard Class,1,6,6
3/10/2012,Second Class,1,3,3
3/10/2012,Second Class,1,3,3
3/10/2012,Second Class,1,3,3
3/10/2012,Second Class,1,3,3
3/10/2012,Standard Class,1,5,6
3/10/2012,Standard Class,1,6,6
4/10/2012,First Class,1,3,1
4/10/2012,Second Class,1,5,3
4/10/2012,Standard Class,1,5,6
4/10/2012,Standard Class,1,5,6
5/10/2012,First Class,1,2,1
5/10/2012,Second Class,1,3,3
5/10/2012,Standard Class,1,4,6
5/10/2012,Standard Class,1,4,6
5/10/2012,Standard Class,1,4,6
5/10/2012,Standard Class,1,4,6
5/10/2012,Standard Class,1,4,6
8/10/2012,Standard Class,1,4,6
8/10/2012,Standard Class,1,5,6
8/10/2012,Standard Class,1,5,6
9/10/2012,Second Class,1,3,3
9/10/2012,Second Class,1,3,3
9/10/2012,Second Class,1,3,3
9/10/2012,Second Class,1,3,3
9/10/2012,Standard Class,1,4,6
9/10/2012,Standard Class,1,4,6
9/10/2012,Second Class,1,4,3
9/10/2012,Standard Class,1,4,6
9/10/2012,Standard Class,1,4,6
9/10/2012,Standard Class,1,4,6
9/10/2012,Standard Class,1,4,6
9/10/2012,Second Class,1,4,3
10/10/2012,First Class,1,1,1
10/10/2012,First Class,1,2,1
10/10/2012,First Class,1,2,1
10/10/2012,Standard Class,1,5,6
10/10/2012,Standard Class,1,7,6
11/10/2012,Second Class,1,2,3
11/10/2012,Standard Class,1,7,6
11/10/2012,Standard Class,1,7,6
12/10/2012,First Class,1,2,1
12/10/2012,First Class,1,2,1
12/10/2012,First Class,1,2,1
12/10/2012,First Class,1,2,1
