Category,Order Date,Region,Profit,Quantity,Sales
Furniture,31/10/2011,West,-9,3,146
Office Supplies,31/10/2011,West,4,3,12
Office Supplies,31/10/2011,West,5,2,16
Office Supplies,31/10/2011,West,6,3,19
Office Supplies,31/10/2011,West,5,3,11
Office Supplies,31/10/2011,West,30,13,65
Office Supplies,31/10/2011,West,21,5,80
Office Supplies,31/10/2011,West,12,4,406
Technology,31/10/2011,West,48,9,252
Furniture,1/11/2011,East,16,2,69
Office Supplies,1/11/2011,East,-3,2,3
Office Supplies,1/11/2011,East,-18,3,22
Furniture,1/11/2011,East,10,6,32
Office Supplies,1/11/2011,East,155,3,534
Office Supplies,1/11/2011,East,82,3,168
Office Supplies,1/11/2011,West,-94,5,444
Office Supplies,1/11/2011,East,22,2,76
Office Supplies,1/11/2011,South,1,3,10
Office Supplies,1/11/2011,South,1,5,8
Office Supplies,1/11/2011,South,16,12,48
Technology,1/11/2011,West,55,3,156
Technology,1/11/2011,South,110,9,979
Office Supplies,1/11/2011,West,4,3,43
Technology,1/11/2011,West,248,4,1984
Office Supplies,1/11/2011,Central,5,3,16
Office Supplies,1/11/2011,South,2,3,6
Office Supplies,1/11/2011,South,19,2,70
Office Supplies,1/11/2011,West,22,3,44
Office Supplies,1/11/2011,West,10,5,21
Furniture,2/11/2011,East,24,6,89
Office Supplies,2/11/2011,East,-13,3,19
Office Supplies,2/11/2011,East,16,7,35
Office Supplies,2/11/2011,West,105,2,363
Technology,2/11/2011,East,-10,7,50
Technology,2/11/2011,East,-108,6,540
Technology,2/11/2011,West,5,2,46
Technology,2/11/2011,South,240,10,800
Technology,2/11/2011,Central,8,3,89
Technology,2/11/2011,West,15,2,42
Technology,2/11/2011,West,5,1,53
Office Supplies,3/11/2011,West,3,4,7
Office Supplies,3/11/2011,East,3,2,6
Furniture,3/11/2011,South,-51,3,410
Furniture,3/11/2011,South,-299,6,945
Office Supplies,3/11/2011,East,3,2,8
Office Supplies,3/11/2011,East,18,2,49
Office Supplies,3/11/2011,South,-10,7,14
Office Supplies,3/11/2011,South,-2,2,26
Technology,3/11/2011,East,220,4,784
Technology,3/11/2011,Central,19,3,90
Office Supplies,3/11/2011,East,3,3,12
Office Supplies,3/11/2011,East,-64,3,286
Office Supplies,3/11/2011,South,1,2,3
Office Supplies,3/11/2011,South,49,9,144
Furniture,4/11/2011,West,13,2,35
Office Supplies,4/11/2011,South,5,5,58
Office Supplies,4/11/2011,South,3,3,8
Furniture,4/11/2011,East,24,1,136
Office Supplies,4/11/2011,East,13,1,44
Technology,4/11/2011,East,130,4,360
Technology,4/11/2011,East,1996,2,3992
Technology,4/11/2011,East,80,6,276
Office Supplies,4/11/2011,East,19,4,52
Furniture,4/11/2011,West,-65,4,574
Office Supplies,4/11/2011,West,8,3,22
Office Supplies,4/11/2011,West,9,3,19
Office Supplies,4/11/2011,West,1,1,3
Technology,4/11/2011,West,140,4,448
Technology,4/11/2011,West,67,7,666
Furniture,5/11/2011,South,40,5,150
Furniture,5/11/2011,East,-34,2,274
Furniture,5/11/2011,West,9,6,20
Office Supplies,5/11/2011,East,-9,2,13
Office Supplies,5/11/2011,East,-95,6,1080
Technology,5/11/2011,East,17,2,58
Technology,5/11/2011,East,-6,5,52
Technology,5/11/2011,South,16,3,48
Office Supplies,6/11/2011,South,21,6,44
Office Supplies,7/11/2011,East,3,4,6
Office Supplies,7/11/2011,East,14,3,30
Office Supplies,7/11/2011,Central,-44,3,26
Office Supplies,7/11/2011,Central,27,3,74
Office Supplies,7/11/2011,West,9,4,121
Office Supplies,7/11/2011,West,9,5,26
Furniture,7/11/2011,Central,0,4,683
Office Supplies,7/11/2011,Central,69,6,246
Office Supplies,7/11/2011,Central,-2,3,1
Office Supplies,7/11/2011,Central,6,3,12
Office Supplies,7/11/2011,Central,10,3,37
Office Supplies,7/11/2011,Central,6,2,23
Office Supplies,7/11/2011,Central,4,7,41
Office Supplies,7/11/2011,West,46,7,123
Technology,8/11/2011,West,25,3,334
Furniture,9/11/2011,West,10,2,223
Office Supplies,9/11/2011,West,29,7,63
Office Supplies,9/11/2011,West,46,5,95
Office Supplies,9/11/2011,West,25,6,93
Office Supplies,9/11/2011,West,3,3,341
Technology,9/11/2011,West,88,4,704
Furniture,9/11/2011,East,21,9,57
Furniture,10/11/2011,Central,113,3,564
Furniture,10/11/2011,West,15,5,53
Furniture,10/11/2011,West,11,2,40
Office Supplies,10/11/2011,Central,2,2,4
Office Supplies,10/11/2011,Central,6,3,13
Office Supplies,10/11/2011,Central,7,3,16
Office Supplies,10/11/2011,Central,12,3,63
Office Supplies,10/11/2011,Central,161,3,535
Office Supplies,10/11/2011,West,18,8,40
Office Supplies,10/11/2011,West,28,8,62
Technology,10/11/2011,West,4,1,11
Technology,10/11/2011,West,60,8,602
Office Supplies,11/11/2011,West,7,1,23
Office Supplies,11/11/2011,West,763,2,2034
Office Supplies,11/11/2011,West,2,2,8
Office Supplies,11/11/2011,West,56,4,124
Technology,11/11/2011,West,15,7,102
Technology,11/11/2011,West,58,9,576
Furniture,11/11/2011,West,75,5,604
Office Supplies,11/11/2011,West,1,1,3
Technology,11/11/2011,West,56,2,560
Furniture,11/11/2011,Central,-57,4,798
Furniture,11/11/2011,Central,-8,2,11
Furniture,11/11/2011,East,-251,4,522
Furniture,11/11/2011,East,8,2,24
Office Supplies,11/11/2011,Central,7,3,68
Office Supplies,11/11/2011,Central,-1480,5,897
Office Supplies,11/11/2011,Central,-2,1,1
Office Supplies,11/11/2011,Central,8,5,22
Office Supplies,11/11/2011,Central,95,8,262
Technology,11/11/2011,Central,15,3,241
Technology,11/11/2011,Central,17,2,148
Office Supplies,11/11/2011,East,22,5,46
Office Supplies,11/11/2011,East,110,4,224
Office Supplies,11/11/2011,East,2,2,7
Furniture,11/11/2011,West,11,1,113
Office Supplies,11/11/2011,Central,13,6,666
Office Supplies,11/11/2011,West,8,3,30
Office Supplies,12/11/2011,Central,5,4,50
Furniture,12/11/2011,West,31,3,629
Furniture,12/11/2011,Central,-13,1,68
Office Supplies,12/11/2011,West,6,2,12
Office Supplies,12/11/2011,Central,0,1,3
Office Supplies,12/11/2011,Central,13,7,36
Office Supplies,12/11/2011,Central,-3,6,17
Technology,12/11/2011,Central,21,3,80
Office Supplies,12/11/2011,South,1,3,8
Furniture,12/11/2011,Central,-7,3,25
Technology,12/11/2011,Central,26,2,128
Office Supplies,14/11/2011,Central,7,4,21
Office Supplies,14/11/2011,East,21,10,44
Technology,14/11/2011,East,233,7,833
Furniture,14/11/2011,East,15,2,69
Office Supplies,14/11/2011,Central,6,4,12
Office Supplies,14/11/2011,Central,6,3,13
Office Supplies,14/11/2011,East,5,2,11
Office Supplies,14/11/2011,South,16,5,32
Office Supplies,15/11/2011,West,3,3,11
Furniture,15/11/2011,West,3,3,10
Office Supplies,15/11/2011,West,5,2,20
Technology,15/11/2011,West,147,3,772
Office Supplies,15/11/2011,South,29,2,333
Office Supplies,15/11/2011,South,0,3,4
Office Supplies,15/11/2011,South,8,4,25
Office Supplies,15/11/2011,Central,204,9,605
Furniture,16/11/2011,West,25,3,306
Office Supplies,16/11/2011,West,10,3,345
Technology,16/11/2011,West,-18,4,80
Furniture,16/11/2011,Central,-1,2,37
Technology,16/11/2011,Central,11,2,274
Office Supplies,16/11/2011,Central,14,4,29
Office Supplies,16/11/2011,Central,37,5,78
Office Supplies,16/11/2011,Central,14,6,32
Office Supplies,16/11/2011,Central,42,5,169
Office Supplies,16/11/2011,West,2,2,5
Office Supplies,17/11/2011,West,72,3,241
Office Supplies,17/11/2011,West,352,7,734
Technology,17/11/2011,West,8,2,100
Furniture,17/11/2011,Central,82,5,480
Office Supplies,17/11/2011,Central,2,3,7
Furniture,17/11/2011,East,-50,10,4008
Furniture,17/11/2011,East,15,3,124
Office Supplies,17/11/2011,East,727,3,2153
Office Supplies,17/11/2011,East,27,5,58
Office Supplies,17/11/2011,East,792,7,2934
Office Supplies,17/11/2011,East,17,3,34
Furniture,17/11/2011,East,-94,5,658
Office Supplies,17/11/2011,East,4,2,12
Furniture,18/11/2011,West,-99,2,146
Office Supplies,18/11/2011,West,13,4,36
Office Supplies,18/11/2011,Central,17,5,67
Furniture,18/11/2011,Central,-30,6,424
Furniture,18/11/2011,Central,-7,2,9
Furniture,18/11/2011,Central,-175,4,292
Office Supplies,18/11/2011,Central,-5,3,3
Office Supplies,18/11/2011,Central,-67,5,382
Office Supplies,18/11/2011,West,10,7,22
Furniture,18/11/2011,East,5,3,60
Office Supplies,18/11/2011,East,-41,1,51
Office Supplies,18/11/2011,East,-1,3,2
Office Supplies,18/11/2011,East,-16,1,77
Technology,18/11/2011,East,-108,6,540
Furniture,18/11/2011,Central,43,3,393
Office Supplies,18/11/2011,East,-9,8,12
Technology,18/11/2011,East,-2,2,10
Furniture,18/11/2011,West,55,2,138
Furniture,18/11/2011,West,95,4,730
Office Supplies,18/11/2011,Central,-24,5,14
Technology,19/11/2011,East,-1,1,47
Office Supplies,19/11/2011,East,2,1,6
Technology,19/11/2011,East,1228,7,4549
Office Supplies,19/11/2011,Central,58,4,221
Office Supplies,19/11/2011,West,80,3,166
Technology,19/11/2011,Central,79,3,282
Technology,19/11/2011,South,7,2,29
Technology,19/11/2011,South,131,4,504
Technology,19/11/2011,South,42,5,150
Furniture,19/11/2011,East,236,6,1026
Office Supplies,19/11/2011,East,102,7,213
Office Supplies,19/11/2011,East,11,6,23
Office Supplies,19/11/2011,East,5,2,10
Office Supplies,20/11/2011,East,5,3,13
Office Supplies,20/11/2011,East,17,3,35
Office Supplies,20/11/2011,East,12,4,26
Technology,20/11/2011,East,217,6,834
Office Supplies,21/11/2011,South,1,3,5
Office Supplies,21/11/2011,South,302,6,629
Office Supplies,21/11/2011,South,10,3,194
Office Supplies,21/11/2011,West,6,2,13
Office Supplies,21/11/2011,West,3,2,7
Technology,21/11/2011,South,10,1,37
Technology,21/11/2011,West,28,1,95
Office Supplies,21/11/2011,Central,1,1,2
Technology,21/11/2011,Central,17,5,268
Office Supplies,22/11/2011,Central,-11,1,7
Office Supplies,22/11/2011,South,5,2,10
Office Supplies,22/11/2011,West,24,9,54
Office Supplies,22/11/2011,South,290,3,675
Office Supplies,22/11/2011,South,157,5,320
Office Supplies,22/11/2011,South,8,3,16
Office Supplies,22/11/2011,South,5,2,11
Office Supplies,22/11/2011,Central,-16,5,10
Furniture,23/11/2011,West,-68,5,604
Furniture,23/11/2011,West,24,2,381
Office Supplies,23/11/2011,West,10,3,22
Technology,23/11/2011,West,6,1,30
Furniture,23/11/2011,Central,-36,2,155
Furniture,23/11/2011,Central,-3,2,6
Office Supplies,23/11/2011,Central,7,3,15
Office Supplies,23/11/2011,Central,-87,3,34
Technology,23/11/2011,Central,2,7,6
Office Supplies,23/11/2011,West,9,3,23
Office Supplies,23/11/2011,East,21,3,63
Office Supplies,23/11/2011,Central,9,2,24
Furniture,24/11/2011,East,-35,3,611
Technology,24/11/2011,East,-210,5,1050
Furniture,24/11/2011,West,27,4,152
Furniture,24/11/2011,West,-18,1,121
Office Supplies,24/11/2011,East,0,1,3
Office Supplies,24/11/2011,Central,-8,5,646
Furniture,24/11/2011,East,10,7,35
Furniture,24/11/2011,South,49,5,111
Office Supplies,24/11/2011,Central,46,4,152
Office Supplies,24/11/2011,Central,96,2,197
Office Supplies,24/11/2011,Central,8,2,16
Office Supplies,24/11/2011,Central,69,3,144
Technology,24/11/2011,Central,44,7,112
Technology,24/11/2011,East,-250,4,1502
Office Supplies,24/11/2011,West,4,7,12
Office Supplies,24/11/2011,West,12,4,26
Office Supplies,24/11/2011,West,10,6,486
Office Supplies,24/11/2011,West,53,2,198
Office Supplies,24/11/2011,East,-5,3,6
Furniture,25/11/2011,East,20,2,53
Furniture,25/11/2011,West,11,3,24
Office Supplies,25/11/2011,West,93,6,321
Office Supplies,25/11/2011,West,12,4,27
Furniture,25/11/2011,West,54,4,725
Furniture,25/11/2011,East,-38,3,276
Office Supplies,25/11/2011,West,3,3,7
Office Supplies,25/11/2011,East,56,4,1118
Technology,25/11/2011,West,47,5,540
Furniture,25/11/2011,Central,-4,3,6
Furniture,25/11/2011,Central,-122,5,1219
Office Supplies,25/11/2011,West,8,7,51
Office Supplies,25/11/2011,Central,2,2,6
Office Supplies,25/11/2011,Central,1,1,3
Office Supplies,25/11/2011,Central,5,3,16
Technology,25/11/2011,Central,0,3,25
Office Supplies,26/11/2011,East,5,3,13
Office Supplies,26/11/2011,East,6,4,17
Office Supplies,26/11/2011,East,45,9,93
Office Supplies,26/11/2011,East,6,4,12
Technology,26/11/2011,East,78,4,280
Furniture,26/11/2011,Central,-14,5,19
Office Supplies,26/11/2011,West,11,2,41
Office Supplies,26/11/2011,West,3,1,7
Office Supplies,26/11/2011,West,2,3,4
Office Supplies,26/11/2011,West,7,3,15
Office Supplies,26/11/2011,West,40,2,82
Office Supplies,26/11/2011,West,5,3,16
Office Supplies,26/11/2011,West,-167,5,669
Technology,26/11/2011,West,-88,4,438
Furniture,27/11/2011,East,40,5,200
Office Supplies,27/11/2011,East,1,2,4
Furniture,28/11/2011,West,-5,4,411
Office Supplies,28/11/2011,West,20,4,41
Office Supplies,28/11/2011,West,0,2,7
Office Supplies,28/11/2011,East,6,2,17
Furniture,28/11/2011,South,44,5,398
Office Supplies,28/11/2011,West,12,3,44
Office Supplies,28/11/2011,South,4,4,13
Office Supplies,28/11/2011,South,22,3,46
Office Supplies,28/11/2011,South,40,7,86
Technology,28/11/2011,West,35,7,140
Technology,28/11/2011,Central,-200,5,999
Office Supplies,28/11/2011,Central,29,6,64
Office Supplies,28/11/2011,South,4,3,15
Office Supplies,29/11/2011,Central,4,2,13
Office Supplies,29/11/2011,East,12,2,25
Office Supplies,29/11/2011,East,2,2,5
Office Supplies,29/11/2011,West,15,5,30
Technology,29/11/2011,West,72,2,576
Office Supplies,30/11/2011,East,29,4,62
Office Supplies,30/11/2011,South,-4,9,7
Office Supplies,30/11/2011,West,4,7,48
Technology,30/11/2011,West,-17,4,102
Furniture,1/12/2011,Central,674,8,2808
Furniture,1/12/2011,East,16,3,46
Furniture,1/12/2011,East,3,2,10
Furniture,1/12/2011,East,-52,6,910
Furniture,1/12/2011,East,1,2,8
Furniture,1/12/2011,Central,-19,3,674
Office Supplies,1/12/2011,Central,13,4,47
Office Supplies,1/12/2011,East,13,7,36
Technology,1/12/2011,East,79,2,272
Technology,1/12/2011,East,110,2,660
Furniture,1/12/2011,West,29,3,58
Technology,1/12/2011,South,10,4,96
Furniture,2/12/2011,East,-110,5,884
Office Supplies,2/12/2011,Central,-6,1,2
Office Supplies,2/12/2011,East,16,8,47
Technology,2/12/2011,East,53,4,120
Furniture,2/12/2011,Central,-24,5,40
Furniture,2/12/2011,Central,-25,5,58
Office Supplies,2/12/2011,Central,1,7,16
Furniture,2/12/2011,East,65,8,240
Furniture,2/12/2011,East,24,3,61
Office Supplies,2/12/2011,East,7,6,16
Office Supplies,2/12/2011,East,73,3,147
Technology,2/12/2011,East,30,5,120
Office Supplies,2/12/2011,South,7,3,15
Technology,2/12/2011,South,1,1,6
Office Supplies,3/12/2011,Central,12,4,26
Technology,3/12/2011,Central,134,4,480
Technology,4/12/2011,East,62,2,130
Office Supplies,5/12/2011,West,73,6,250
Office Supplies,5/12/2011,East,118,7,348
Office Supplies,5/12/2011,East,-30,4,173
Office Supplies,5/12/2011,Central,2,2,25
Office Supplies,5/12/2011,East,-24,4,30
Office Supplies,5/12/2011,East,6,3,17
Office Supplies,5/12/2011,East,36,3,98
Technology,5/12/2011,Central,77,7,409
Technology,5/12/2011,East,-9,1,37
Technology,5/12/2011,East,-45,2,180
Office Supplies,5/12/2011,West,12,9,26
Office Supplies,5/12/2011,West,7,3,15
Office Supplies,5/12/2011,West,23,4,49
Office Supplies,5/12/2011,West,111,8,1113
Technology,5/12/2011,West,63,4,168
Office Supplies,5/12/2011,South,7,2,25
Furniture,6/12/2011,Central,-14,3,24
Office Supplies,6/12/2011,West,328,7,1261
Furniture,6/12/2011,Central,-5,3,11
Furniture,6/12/2011,Central,-120,5,215
Office Supplies,6/12/2011,Central,-32,4,14
Office Supplies,6/12/2011,Central,-8,2,5
Office Supplies,6/12/2011,Central,-8,2,35
Technology,6/12/2011,Central,-7,4,35
Furniture,6/12/2011,West,-171,1,275
Office Supplies,6/12/2011,South,14,2,42
Office Supplies,6/12/2011,West,5,3,53
Office Supplies,7/12/2011,West,81,3,165
Office Supplies,7/12/2011,West,2,3,9
Office Supplies,7/12/2011,South,49,4,106
Office Supplies,7/12/2011,West,70,7,269
Furniture,8/12/2011,West,45,5,604
Office Supplies,8/12/2011,West,21,2,46
Office Supplies,8/12/2011,West,-5,4,6
Office Supplies,8/12/2011,West,4,5,12
Office Supplies,8/12/2011,West,9,7,28
Office Supplies,8/12/2011,West,4,2,10
Office Supplies,8/12/2011,West,3,3,39
Office Supplies,8/12/2011,West,-3,5,14
Office Supplies,8/12/2011,Central,6,2,60
Technology,8/12/2011,West,-18,10,104
Technology,8/12/2011,West,20,3,53
Furniture,8/12/2011,West,29,3,79
Furniture,8/12/2011,West,11,2,40
Office Supplies,9/12/2011,Central,4,2,11
Office Supplies,9/12/2011,Central,21,3,237
Office Supplies,9/12/2011,West,-1,6,101
Office Supplies,9/12/2011,East,10,3,31
Office Supplies,9/12/2011,Central,-53,2,20
Office Supplies,9/12/2011,Central,3,2,8
Technology,9/12/2011,East,126,4,1080
Office Supplies,9/12/2011,West,17,6,35
Furniture,10/12/2011,West,4,3,338
Office Supplies,10/12/2011,West,12,4,26
Office Supplies,10/12/2011,West,42,4,91
Office Supplies,10/12/2011,East,37,7,106
Office Supplies,10/12/2011,East,5,2,11
Office Supplies,12/12/2011,Central,-337,2,210
Furniture,12/12/2011,West,12,3,255
Furniture,12/12/2011,West,135,12,3611
Furniture,12/12/2011,West,96,6,765
Furniture,12/12/2011,West,5,3,13
Furniture,12/12/2011,West,4,3,9
Office Supplies,12/12/2011,West,1,3,9
Furniture,12/12/2011,West,4,1,43
Office Supplies,12/12/2011,South,8,3,23
Office Supplies,13/12/2011,Central,0,1,3
Office Supplies,13/12/2011,West,42,6,90
Office Supplies,13/12/2011,South,6,3,12
Furniture,13/12/2011,Central,-42,3,94
Furniture,13/12/2011,West,8,3,88
Office Supplies,13/12/2011,West,-4,2,5
Office Supplies,14/12/2011,Central,-14,3,9
Office Supplies,14/12/2011,Central,-9,4,5
Office Supplies,14/12/2011,Central,0,2,3
Technology,14/12/2011,Central,-2,3,35
Furniture,14/12/2011,South,14,4,186
Furniture,14/12/2011,East,-52,1,137
Office Supplies,14/12/2011,East,0,1,3
Technology,14/12/2011,East,43,1,264
Technology,14/12/2011,East,2240,4,7000
Furniture,15/12/2011,East,-108,7,446
Furniture,15/12/2011,Central,-22,5,763
Technology,15/12/2011,Central,-9,3,41
Furniture,15/12/2011,West,2,2,6
Furniture,15/12/2011,Central,-7,2,9
Furniture,16/12/2011,West,18,2,242
Furniture,16/12/2011,West,15,2,44
Technology,16/12/2011,West,40,5,395
Technology,16/12/2011,West,71,4,627
Furniture,16/12/2011,Central,-3,7,9
Furniture,16/12/2011,South,10,6,29
Technology,16/12/2011,Central,96,4,320
Technology,16/12/2011,South,8,2,100
Furniture,16/12/2011,South,101,9,1014
Office Supplies,16/12/2011,Central,53,5,114
Office Supplies,16/12/2011,South,1,2,2
Furniture,16/12/2011,Central,-75,2,57
Furniture,16/12/2011,West,70,5,1404
Office Supplies,16/12/2011,Central,13,7,36
Office Supplies,16/12/2011,South,-1,1,1
Office Supplies,17/12/2011,South,11,3,40
Office Supplies,17/12/2011,East,-4,4,5
Furniture,19/12/2011,South,164,14,1820
Office Supplies,19/12/2011,South,75,6,153
Office Supplies,19/12/2011,South,2,1,7
Office Supplies,19/12/2011,West,9,5,23
Office Supplies,19/12/2011,West,7,2,15
Technology,19/12/2011,West,16,4,211
Technology,19/12/2011,West,73,5,584
Office Supplies,19/12/2011,Central,5,3,16
Office Supplies,19/12/2011,Central,-8,3,33
Office Supplies,19/12/2011,South,-4,2,5
Technology,19/12/2011,Central,36,3,324
Technology,19/12/2011,South,-19,5,248
Technology,20/12/2011,West,90,7,448
Furniture,20/12/2011,South,494,7,2244
Furniture,20/12/2011,South,100,2,455
Office Supplies,20/12/2011,South,29,3,62
Office Supplies,20/12/2011,South,0,2,122
Furniture,20/12/2011,West,-42,3,242
Furniture,20/12/2011,West,10,2,52
Office Supplies,20/12/2011,West,78,5,222
Office Supplies,20/12/2011,West,3,2,8
Technology,20/12/2011,West,22,3,72
Furniture,20/12/2011,East,36,3,192
Office Supplies,20/12/2011,Central,497,3,1104
Office Supplies,20/12/2011,Central,2,1,4
Office Supplies,20/12/2011,West,12,2,47
Office Supplies,20/12/2011,West,1,1,4
Office Supplies,20/12/2011,West,152,2,488
Office Supplies,20/12/2011,West,50,5,155
Furniture,20/12/2011,South,75,3,663
Office Supplies,20/12/2011,Central,-50,2,19
Office Supplies,20/12/2011,South,4,7,44
Office Supplies,20/12/2011,South,9,5,26
Office Supplies,20/12/2011,West,15,3,31
Technology,20/12/2011,Central,-8,5,65
Furniture,20/12/2011,East,-21,3,191
Office Supplies,21/12/2011,East,8,6,17
Furniture,21/12/2011,West,149,6,1326
Furniture,21/12/2011,West,36,3,572
Office Supplies,21/12/2011,South,-15,2,18
Office Supplies,22/12/2011,West,3,4,12
Office Supplies,22/12/2011,East,100,13,297
Office Supplies,22/12/2011,East,56,4,216
Office Supplies,22/12/2011,Central,-31,6,18
Office Supplies,22/12/2011,Central,45,4,124
Office Supplies,22/12/2011,Central,10,1,132
Furniture,23/12/2011,South,6,1,65
Furniture,23/12/2011,East,-20,2,53
Office Supplies,23/12/2011,South,1,1,1
Office Supplies,23/12/2011,South,16,3,46
Office Supplies,23/12/2011,South,-1,5,84
Office Supplies,23/12/2011,South,-11,2,424
Office Supplies,23/12/2011,East,16,3,57
Office Supplies,23/12/2011,Central,58,11,207
Office Supplies,23/12/2011,Central,2,1,5
Furniture,24/12/2011,East,9,5,30
Office Supplies,24/12/2011,South,3,2,10
Office Supplies,24/12/2011,West,4,1,14
Furniture,24/12/2011,West,18,6,292
Furniture,24/12/2011,West,6,1,24
Office Supplies,24/12/2011,West,41,1,143
Office Supplies,24/12/2011,West,101,2,362
Office Supplies,24/12/2011,West,0,1,20
Technology,24/12/2011,West,13,3,63
Technology,24/12/2011,West,51,3,818
Technology,24/12/2011,West,17,7,174
Furniture,26/12/2011,West,20,3,230
Furniture,26/12/2011,West,-25,3,218
Furniture,26/12/2011,West,79,8,300
Furniture,26/12/2011,Central,-9,3,601
Office Supplies,26/12/2011,West,-63,5,79
Office Supplies,26/12/2011,West,9,3,28
Furniture,26/12/2011,West,1,2,3
Office Supplies,26/12/2011,West,0,3,12
Office Supplies,26/12/2011,East,1,3,8
Office Supplies,26/12/2011,Central,-15,5,9
Office Supplies,26/12/2011,East,6,2,35
Office Supplies,26/12/2011,East,8,2,82
Office Supplies,26/12/2011,East,6,3,18
Office Supplies,26/12/2011,East,-43,4,227
Office Supplies,26/12/2011,East,19,6,192
Office Supplies,27/12/2011,Central,-8,1,5
Office Supplies,27/12/2011,West,5,4,12
Furniture,27/12/2011,Central,-20,6,33
Furniture,27/12/2011,East,162,14,767
Office Supplies,27/12/2011,Central,3,4,30
Office Supplies,27/12/2011,West,-694,6,947
Office Supplies,27/12/2011,West,3,1,11
Office Supplies,27/12/2011,West,14,3,37
Office Supplies,27/12/2011,West,4,3,8
Office Supplies,27/12/2011,West,14,3,51
Furniture,27/12/2011,East,-18,3,182
Office Supplies,27/12/2011,East,-25,2,118
Furniture,27/12/2011,West,23,3,230
Office Supplies,27/12/2011,West,6,3,13
Office Supplies,27/12/2011,South,12,4,24
Technology,27/12/2011,South,184,5,498
Office Supplies,28/12/2011,East,9,4,99
Office Supplies,28/12/2011,East,504,6,1737
Office Supplies,28/12/2011,East,67,4,142
Office Supplies,28/12/2011,East,85,5,704
Office Supplies,28/12/2011,West,30,9,999
Office Supplies,28/12/2011,West,13,5,51
Office Supplies,29/12/2011,East,6,5,48
Furniture,29/12/2011,West,24,6,71
Furniture,29/12/2011,West,8,5,25
Furniture,29/12/2011,Central,-5,3,9
Office Supplies,29/12/2011,Central,7,2,25
Office Supplies,29/12/2011,West,5,3,14
Office Supplies,29/12/2011,West,126,9,275
Office Supplies,29/12/2011,West,10,4,21
Technology,29/12/2011,Central,48,4,120
Technology,29/12/2011,West,288,6,768
Technology,29/12/2011,West,19,3,192
Office Supplies,29/12/2011,West,8,1,33
Office Supplies,29/12/2011,West,44,6,89
Technology,29/12/2011,West,-6,3,24
Technology,29/12/2011,West,36,4,320
Furniture,29/12/2011,Central,-51,3,39
Office Supplies,30/12/2011,South,-9,1,39
Office Supplies,30/12/2011,Central,-4,3,2
Office Supplies,30/12/2011,Central,5,3,13
Technology,30/12/2011,Central,14,2,48
Technology,30/12/2011,Central,29,3,329
Technology,30/12/2011,Central,19,2,218
Furniture,30/12/2011,East,-192,3,524
Technology,30/12/2011,East,7,2,28
Technology,30/12/2011,East,-50,6,252
Office Supplies,30/12/2011,East,31,3,123
Office Supplies,30/12/2011,East,13,7,35
Office Supplies,30/12/2011,Central,3,3,10
Office Supplies,30/12/2011,West,-460,5,552
Technology,31/12/2011,West,59,7,476
Office Supplies,31/12/2011,East,9,3,19
Technology,31/12/2011,East,11,3,35
Furniture,31/12/2011,East,23,5,63
Technology,31/12/2011,East,27,3,114
Furniture,31/12/2011,East,197,7,1573
Office Supplies,31/12/2011,Central,12,7,30
Technology,31/12/2011,Central,16,7,48
Office Supplies,31/12/2011,Central,18,2,50
Furniture,31/12/2011,East,79,2,342
Furniture,31/12/2011,East,151,6,606
Office Supplies,31/12/2011,East,92,4,196
Office Supplies,31/12/2011,East,7,3,15
Technology,31/12/2011,East,743,4,1688
Office Supplies,2/1/2012,East,3,3,10
Office Supplies,2/1/2012,East,10,3,20
Office Supplies,2/1/2012,East,22,2,86
Furniture,2/1/2012,East,-244,5,452
Office Supplies,2/1/2012,East,9,2,24
Technology,2/1/2012,East,4,2,90
Technology,2/1/2012,East,-950,9,1188
Technology,2/1/2012,East,-15,3,63
Furniture,3/1/2012,Central,-438,9,1352
Office Supplies,3/1/2012,Central,1,3,7
Office Supplies,3/1/2012,Central,4,2,10
Technology,3/1/2012,Central,85,5,398
Furniture,4/1/2012,South,69,14,192
Office Supplies,4/1/2012,Central,16,3,32
Office Supplies,4/1/2012,Central,20,5,40
Furniture,5/1/2012,West,-7,1,62
Office Supplies,5/1/2012,East,15,3,60
Office Supplies,5/1/2012,East,5,2,13
Office Supplies,5/1/2012,East,8,2,17
Office Supplies,5/1/2012,West,24,6,87
Office Supplies,5/1/2012,West,18,6,56
Office Supplies,6/1/2012,West,-1,2,2
Office Supplies,6/1/2012,West,9,5,30
Office Supplies,9/1/2012,South,46,3,163
Office Supplies,9/1/2012,South,11,2,43
Office Supplies,9/1/2012,South,24,5,52
Office Supplies,9/1/2012,South,50,3,106
Furniture,10/1/2012,East,-373,4,1018
Office Supplies,12/1/2012,East,2,2,10
Technology,12/1/2012,East,2,2,10
Technology,12/1/2012,East,3,4,26
Technology,12/1/2012,East,-43,2,235
Technology,12/1/2012,East,-21,3,107
Office Supplies,12/1/2012,East,121,3,465
Office Supplies,13/1/2012,South,5,2,10
Furniture,13/1/2012,West,93,9,465
Furniture,13/1/2012,West,38,4,78
Office Supplies,13/1/2012,West,25,3,70
Office Supplies,17/1/2012,East,2,2,7
Office Supplies,17/1/2012,South,10,8,89
Furniture,17/1/2012,Central,-312,7,255
Furniture,19/1/2012,Central,-9,4,199
Furniture,19/1/2012,Central,-13,1,102
Office Supplies,23/1/2012,West,7,2,15
